Event Name,Date,Player1,Player2,Player1 UTR,Player2 UTR,Score
USTA National Level 2 at Darling Tennis Center,2019-02-17,Anne Lutkemeyer Obregon,Perene Wang,10.0,0.0,"6-3, 7-6(4)"
USTA National Level 2 Tournament,2019-02-17,Sage Loudon,Ahmani Guichard,9.0,9.0,"6-4, 6-3"
USTA National Level 2 Tournament,2019-02-17,Sophie LLEWELLYN,Ahmani Guichard,9.96,9.0,"1-6, 6-4, 1-0(5)"
USTA National Level 2 Tournament,2019-02-17,Ahmani Guichard,Brooklyn Olson,9.0,9.0,"6-3, 6-3"
USTA National Level 2 Tournament,2019-02-17,Ahmani Guichard,Isabella Pampulov,9.0,0.0,"6-2, 6-2"
USTA National Level 2 Tournament,2019-02-17,Ahmani Guichard,Valeria Ray,9.0,10.0,
USTA National Level 2 Tournament,2019-02-17,Tianmei Wang,Kate Fakih,10.37,10.43,"6-3, 6-2"
USTA National Level 2 Tournament,2019-02-17,Kate Fakih,Milana Sofizade,10.43,7.0,"6-0, 6-0"
USTA National Level 2 Tournament,2019-02-17,Kate Fakih,Ava Tazerouni,10.43,0.0,"6-2, 6-3"
USTA National Level 2 Tournament,2019-02-17,Kate Fakih,Daniela Borruel,10.43,9.0,"6-4, 0-6, 1-0(9)"
USTA National Level 2 at Darling Tennis Center,2019-02-17,Allison Zipoli,Anne Christine Lutkemeyer Obregon,9.0,10.0,"6-4, 6-2"
USTA National Level 2 at Darling Tennis Center,2019-02-17,Maxi Duncan,Anne Christine Lutkemeyer Obregon,9.0,10.0,"6-0, 6-1"
USTA National Level 2 Tournament,2019-02-17,Kate Fakih,Morgan Shaffer,10.43,8.0,"6-1, 6-2"
USTA Florida Level 5 Seminole County BG 16s & G14s,2019-02-03,Artemis Pados,Ahmani Guichard,7.0,9.0,"7-5, 7-5"
USTA Florida Level 5 Seminole County BG 16s & G14s,2019-02-03,Ahmani Guichard,Sally Lloyd,9.0,0.0,"6-3, 6-1"
USTA Florida Level 5 Seminole County BG 16s & G14s,2019-02-03,Ahmani Guichard,Taylor Marie Gales,9.0,7.0,"6-1, 6-2"
USTA Florida Level 5 Seminole County BG 16s & G14s,2019-02-03,Ahmani Guichard,COMPASSION TSAI,9.0,7.0,"6-1, 6-1"
J1 Cuenca,2019-02-01,Bianca Fernandez,Emma EGUIA,9.66,4.0,"6-0, 6-1"
USTA National Level 3: Delray Beach Open Level 3 Jr Championships,2019-01-27,Ahmani Guichard,Sage Loudon,9.0,9.0,"4-0, 4-2"
USTA National Level 3: Delray Beach Open Level 3 Jr Championships,2019-01-27,Valeria Ray,Ahmani Guichard,10.0,9.0,"4-1, 4-0"
USTA National Level 3: Delray Beach Open Level 3 Jr Championships,2019-01-27,Ahmani Guichard,Tess Heber,9.0,0.0,"4-1, 5-3"
USTA National Level 3: Delray Beach Open Level 3 Jr Championships,2019-01-27,Ahmani Guichard,Natalia Perez,9.0,7.0,4-1
USTA National Level 3,2019-01-27,Anna Petrescu,Kate Fakih,0.0,10.43,"6-0, 6-0"
USTA National Level 3,2019-01-27,Kate Fakih,Mia Goldstein,10.43,0.0,"6-3, 4-6, 1-0(4)"
USTA National Level 3,2019-01-27,Kate Fakih,Emily Ing,10.43,7.0,"6-4, 6-4"
USTA National Level 3,2019-01-27,Emily Deming,Kate Fakih,9.94,10.43,"4-6, 6-2, 1-0(6)"
USTA National Level 3: Delray Beach Open Level 3 Jr Championships,2019-01-27,Ahmani Guichard,Blanka Demicheli,9.0,8.0,"4-2, 4-1"
USTA National Level 3,2019-01-27,Katarina Vayser,Olivia Center,9.0,9.95,"6-1, 6-1"
Manhattan Beach Winter Junior Open (Level 5),2019-01-27,Haily Huynh,Mia Jovic,8.0,8.0,"6-2, 6-2"
USTA National Level 3,2019-01-27,Mina Koloski,Olivia Center,8.0,9.95,
J1 Barranquilla,2019-01-25,Bianca Fernandez,Gabriela Carvajal,9.66,6.0,"6-0, 6-3"
J1 Barranquilla,2019-01-25,Bianca Fernandez,Nicole Martinez,9.66,7.0,"6-3, 4-6, 6-4"
5th Annual Henry Talbert Junior Championships (Level 1),2019-01-20,Anne Lutkemeyer Obregon,Faith Pearson ,10.0,0.0,"6-2, 6-1"
5th Annual Henry Talbert Junior Championships (Level 1),2019-01-20,Stacey Samonte,Olivia Center,8.0,9.95,"6-0, 6-2"
5th Annual Henry Talbert Junior Championships (Level 1),2019-01-20,Mika Ikemori,Olivia Center,9.0,9.95,"6-1, 6-2"
5th Annual Henry Talbert Junior Championships (Level 1),2019-01-20,Kimmi Hance,Ayline Esina Samardzic,10.46,9.51,"6-0, 6-1"
5th Annual Henry Talbert Junior Championships (Level 1),2019-01-20,Janie Marcus,Anne Christine Lutkemeyer Obregon,0.0,10.0,"6-4, 6-3"
5th Annual Henry Talbert Junior Championships (Level 1),2019-01-20,Erica Ekstrand,Anne Christine Lutkemeyer Obregon,8.0,10.0,"6-3, 6-4"
5th Annual Henry Talbert Junior Championships (Level 1),2019-01-20,Anne Lutkemeyer Obregon,Allison Aronov,10.0,0.0,"6-0, 6-2"
5th Annual Henry Talbert Junior Championships (Level 1),2019-01-20,Kimmi Hance,Jordyn McBride,10.46,10.36,"6-1, 6-0"
5th Annual Henry Talbert Junior Championships (Level 1),2019-01-20,Quin Brady,Kate Fakih,8.0,10.43,"7-6, 6-3"
